time,type,data,data2,data3,data4,data5,data6
0,0,0,0,0,0,0,0
0,2,1,0,1,0,0,0
0,5,32,33,31,34,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
0,46,0,0,3,0,0,0
0,48,0,0,0,0,0,0
0,65,0,0,0,0,0,0
0,72,1,0,0,0,0,0
1,17,527,300,0,11,-60,0
1,17,526,0,0,10,-60,0
1,45,612,0,0,11,0,0
1,45,629,0,0,10,0,0
1,66,3,2,0,0,0,0
1,80,1,0,0,0,0,0
2,64,6,1,1,0,0,0
20,20,8,6,0,11,0,0
20,20,-8,6,0,10,0,0
40,20,0,0,0,11,0,0
40,20,0,0,0,10,0,0
50,31,4,4,4,11,0,0
50,31,4,4,4,10,0,0
54,31,0,0,0,11,0,0
54,31,0,0,0,10,0,0
60,20,-3,-3,0,11,0,0
60,20,3,-3,0,10,0,0
108,6,519,264,0,0,0,0
108,6,519,144,0,0,0,0
108,7,540,168,0,0,0,0
108,7,521,96,0,0,0,0
108,7,521,72,0,0,0,0
108,10,519,48,0,0,0,0
108,10,519,192,0,0,0,0
108,10,519,216,0,0,0,0
108,10,519,240,0,0,0,0
108,10,519,120,0,0,0,0
108,10,519,24,0,0,0,0
136,6,519,168,0,0,0,0
160,6,525,210,0,0,0,0
164,10,519,168,0,0,0,0
168,6,524,78,0,2,0,0
168,10,522,66,0,1,0,0
168,10,523,90,0,1,0,0
168,45,628,0,0,1,0,0
180,20,0,2,0,2,0,0
180,25,20,0,0,1,0,0
192,10,519,168,0,0,0,0
196,6,397,210,-1,0,-24,0
216,6,525,258,0,0,0,0
220,10,519,168,0,0,0,0
300,6,524,102,0,2,0,0
300,10,522,90,0,1,0,0
300,10,523,114,0,1,0,0
300,45,628,0,0,1,0,0
320,20,0,2,0,2,0,0
320,25,20,0,0,1,0,0
328,6,524,198,0,4,0,0
328,10,522,186,0,3,0,0
328,10,523,210,0,3,0,0
328,45,628,0,0,3,0,0
348,20,0,2,0,4,0,0
