time,type,data,data2,data3,data4,data5,data6
0,2,1,1,2,0,0,0
0,5,32,33,31,34,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
0,43,2,0,0,0,0,0
0,64,2,1,13,0,0,0
80,16,2,30,0,0,0,0
100,7,792,171,2,16,-26,-2
100,7,793,171,2,16,2,-2
100,7,790,171,2,13,-20,-2
100,7,781,170,2,19,-28,-2
100,7,782,158,2,18,0,-2
100,7,783,182,2,17,0,-2
100,7,780,156,2,14,-30,-2
100,7,780,184,2,15,-30,-2
130,7,784,100,2,1,-28,0
130,7,785,100,2,1,0,0
140,7,784,210,2,2,-28,0
140,7,785,210,2,2,0,0
150,7,784,70,2,3,-28,0
150,7,785,70,2,3,0,0
150,19,0,0,0,13,0,0
150,19,0,0,0,19,0,0
150,19,0,0,0,18,0,0
150,19,0,0,0,17,0,0
150,19,0,0,0,16,0,0
150,19,0,0,0,15,0,0
150,19,0,0,0,14,0,0
160,7,784,270,2,4,-28,0
160,7,785,270,2,4,0,0
170,7,784,20,2,5,-28,0
170,7,785,20,2,5,0,0
180,7,784,190,2,6,-28,0
180,7,785,190,2,6,0,0
190,7,784,50,2,7,-28,0
190,7,785,50,2,7,0,0
200,7,784,240,2,8,-28,0
200,7,785,240,2,8,0,0
240,31,1,0,0,17,0,0
241,31,0,0,0,17,0,0
242,39,17,19,0,0,0,0
242,39,18,19,0,0,0,0
250,19,0,-3,0,13,0,0
250,25,254,0,0,13,0,0
250,79,13,0,0,0,0,0
270,19,0,0,0,13,0,0
280,19,0,3,0,13,0,0
300,19,5,5,0,13,0,0
300,19,2,-1,0,15,0,0
305,19,0,0,0,13,0,0
305,31,0,3,0,13,0,0
315,31,0,0,0,13,0,0
330,19,-5,-5,0,13,0,0
330,19,0,0,0,15,0,0
330,31,2,0,0,15,0,0
332,31,0,0,0,15,0,0
335,19,0,0,0,13,0,0
340,19,-2,1,0,15,0,0
350,19,-5,5,0,13,0,0
355,19,0,0,0,13,0,0
355,31,0,3,0,13,0,0
365,31,0,0,0,13,0,0
369,70,1000,13,0,0,0,0
370,19,-2,-1,0,14,0,0
370,19,0,0,0,15,0,0
370,62,23,0,0,0,0,0
380,19,5,-5,0,13,0,0
385,19,0,0,0,13,0,0
400,19,0,0,0,14,0,0
400,19,0,6,0,13,0,0
400,31,2,0,0,14,0,0
402,31,0,0,0,14,0,0
405,7,786,158,3,1,100,0
405,7,787,182,3,2,100,0
405,19,0,0,0,13,0,0
405,45,609,0,0,1,0,0
405,45,622,0,0,2,0,0
405,62,14,0,0,0,0,0
406,39,2,1,0,0,0,0
410,19,2,1,0,14,0,0
425,19,0,-6,0,13,0,0
430,19,0,-3,0,13,0,0
439,70,1000,13,0,0,0,0
440,19,0,0,0,14,0,0
440,19,3,-1,0,15,0,0
440,62,23,0,0,0,0,0
450,19,0,0,0,13,0,0
470,19,0,0,0,15,0,0
470,31,0,0,3,13,0,0
470,31,2,0,0,15,0,0
472,31,0,0,0,15,0,0
480,19,-3,1,0,15,0,0
490,31,0,0,0,13,0,0
509,70,1000,13,0,0,0,0
510,19,0,3,0,13,0,0
510,19,0,0,0,15,0,0
510,19,-3,-1,0,14,0,0
510,62,23,0,0,0,0,0
530,19,5,5,0,13,0,0
535,19,0,0,0,13,0,0
535,31,0,3,0,13,0,0
540,19,0,0,0,14,0,0
540,31,2,0,0,14,0,0
542,31,0,0,0,14,0,0
550,19,3,1,0,14,0,0
555,31,0,0,0,13,0,0
570,19,-5,-5,0,13,0,0
575,19,0,0,0,13,0,0
579,70,1000,13,0,0,0,0
580,19,0,0,0,14,0,0
580,19,6,-2,0,15,0,0
580,62,23,0,0,0,0,0
590,19,-5,5,0,13,0,0
595,19,0,0,0,13,0,0
595,19,0,0,0,15,0,0
595,31,0,3,0,13,0,0
595,31,2,0,0,15,0,0
597,31,0,0,0,15,0,0
600,19,-6,2,0,15,0,0
605,31,0,0,0,13,0,0
614,70,1000,13,0,0,0,0
615,19,-6,-2,0,14,0,0
615,19,0,0,0,15,0,0
615,62,23,0,0,0,0,0
620,19,5,-5,0,13,0,0
625,19,0,0,0,13,0,0
630,19,0,0,0,14,0,0
630,31,2,0,0,14,0,0
632,31,0,0,0,14,0,0
635,19,6,2,0,14,0,0
640,19,0,6,0,13,0,0
645,7,787,182,3,2,120,0
645,7,786,158,3,1,120,0
645,19,0,0,0,13,0,0
645,45,605,0,0,2,0,0
645,45,614,0,0,1,0,0
645,62,14,0,0,0,0,0
646,39,2,1,0,0,0,0
649,70,1000,13,0,0,0,0
650,19,0,0,0,14,0,0
650,19,4,-2,0,15,0,0
650,62,23,0,0,0,0,0
665,19,0,-6,0,13,0,0
665,19,0,0,0,15,0,0
665,31,2,0,0,15,0,0
667,31,0,0,0,15,0,0
670,19,0,-3,0,13,0,0
670,19,-4,2,0,15,0,0
684,70,1000,13,0,0,0,0
685,19,-4,-2,0,14,0,0
685,19,0,0,0,15,0,0
685,62,23,0,0,0,0,0
690,19,0,0,0,13,0,0
700,19,0,0,0,14,0,0
700,31,2,0,0,14,0,0
702,31,0,0,0,14,0,0
705,19,4,2,0,14,0,0
710,31,0,0,3,13,0,0
719,70,1000,13,0,0,0,0
720,19,0,0,0,14,0,0
720,62,23,0,0,0,0,0
729,31,0,0,0,13,0,0
729,71,1000,7000,0,0,0,0
730,54,280,0,0,0,0,0
1000,19,0,-4,0,13,0,0
1001,19,0,0,0,15,0,0
1001,19,0,0,0,14,0,0
1002,62,23,0,0,0,0,0
1050,19,4,-2,0,15,0,0
1050,19,-4,-2,0,14,0,0
1065,19,0,0,0,15,0,0
1065,19,0,0,0,14,0,0
1065,31,20,0,0,15,0,0
1065,31,20,0,0,14,0,0
1075,19,-2,1,0,15,0,0
1075,19,2,1,0,14,0,0
1105,7,794,158,0,10,110,-2
1105,7,794,182,0,10,110,-2
1105,19,0,0,0,15,0,0
1105,19,0,0,0,14,0,0
1105,25,254,0,0,16,0,0
1105,31,0,0,0,14,0,0
1105,31,0,0,0,15,0,0
1105,62,23,0,0,0,0,0
1105,62,23,0,0,0,0,0
1105,79,16,0,0,0,0,0
1112,19,0,4,0,16,0,0
1120,7,786,158,3,1,100,0
1120,7,787,182,3,2,100,0
1120,19,0,0,0,16,0,0
1120,45,827,0,0,1,0,0
1120,45,621,0,0,2,0,0
1120,62,14,0,0,0,0,0
1121,39,2,1,0,0,0,0
1130,19,0,-4,0,16,0,0
1138,19,0,0,0,16,0,0
1139,19,3,-2,0,19,0,0
1139,19,3,-2,0,16,0,0
1139,19,3,-2,0,15,0,0
1139,19,3,-2,0,14,0,0
1139,19,3,-2,0,10,0,0
1169,19,0,0,0,19,0,0
1169,19,0,0,0,16,0,0
1169,19,0,0,0,15,0,0
1169,19,0,0,0,14,0,0
1169,19,0,0,0,10,0,0
1170,19,0,4,0,16,0,0
1178,19,0,0,0,16,0,0
1178,31,0,0,0,16,1,0
1189,31,0,0,0,16,0,0
1190,19,0,-4,0,16,0,0
1198,19,0,0,0,16,0,0
1240,19,-6,1,0,19,0,0
1240,19,-6,1,0,16,0,0
1240,19,-6,1,0,15,0,0
1240,19,-6,1,0,14,0,0
1240,19,-6,1,0,10,0,0
1240,31,0,10,0,15,0,0
1240,31,0,10,0,14,0,0
1270,19,0,0,0,19,0,0
1270,19,0,0,0,16,0,0
1270,19,0,0,0,15,0,0
1270,19,0,0,0,14,0,0
1270,19,0,0,0,10,0,0
1270,19,0,4,0,16,0,0
1270,31,0,0,0,14,0,0
1270,31,0,0,0,15,0,0
1278,19,0,0,0,16,0,0
1278,31,0,0,0,16,1,0
1289,31,0,0,0,16,0,0
1310,19,0,-4,0,16,0,0
1318,19,0,0,0,16,0,0
1320,19,-1,1,0,15,0,0
1320,19,1,1,0,14,0,0
1320,62,21,0,0,0,0,0
1325,19,-2,0,0,15,0,0
1325,19,2,0,0,14,0,0
1326,19,2,0,0,15,0,0
1326,19,-2,0,0,14,0,0
1327,19,-2,0,0,15,0,0
1327,19,2,0,0,14,0,0
1328,19,2,0,0,15,0,0
1328,19,-2,0,0,14,0,0
1329,19,-2,0,0,15,0,0
1329,19,2,0,0,14,0,0
1330,19,2,0,0,15,0,0
1330,19,-2,0,0,14,0,0
1331,19,-2,0,0,15,0,0
1331,19,2,0,0,14,0,0
1332,19,2,0,0,15,0,0
1332,19,-2,0,0,14,0,0
1333,19,-2,0,0,15,0,0
1333,19,2,0,0,14,0,0
1334,19,2,0,0,15,0,0
1334,19,-2,0,0,14,0,0
1335,19,-2,0,0,15,0,0
1335,19,2,0,0,14,0,0
1336,19,2,0,0,15,0,0
1336,19,-2,0,0,14,0,0
1337,19,-2,0,0,15,0,0
1337,19,2,0,0,14,0,0
1338,19,2,0,0,15,0,0
1338,19,-2,0,0,14,0,0
1339,19,-2,0,0,15,0,0
1339,19,2,0,0,14,0,0
1340,19,2,0,0,15,0,0
1340,19,-2,0,0,14,0,0
1341,19,0,0,0,15,0,0
