time,type,data,data2,data3,data4,data5,data6
0,2,0,15,0,0,0,0
0,5,3,32,31,33,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
0,43,3,0,0,0,0,0
0,53,0,0,0,0,0,0
0,64,4,1,3,0,0,0
0,67,1,-5536,50,0,0,0
0,81,200,16574,0,0,0,0
1,54,10000,0,0,0,0,0
14,2,12,12,0,0,0,0
14,34,0,0,0,0,0,0
26,2,11,11,0,0,0,0
37,2,10,10,0,0,0,0
47,2,9,9,0,0,0,0
56,2,8,8,0,0,0,0
64,2,7,7,0,0,0,0
71,2,6,6,0,0,0,0
77,2,5,5,0,0,0,0
82,2,4,4,0,0,0,0
86,2,3,3,0,0,0,0
89,2,2,2,0,0,0,0
91,2,1,1,0,0,0,0
130,62,29,0,0,0,0,0
130,82,15,0,0,0,0,0
140,15,415,234,1,1,0,0
140,15,412,210,1,1,-28,0
140,15,413,234,1,1,-28,0
140,15,414,210,1,1,0,0
140,25,40,0,0,1,0,0
140,64,6,1,1,0,0,0
150,35,4,0,0,0,0,0
160,20,-8,20,0,1,0,0
180,15,415,34,1,2,0,0
180,15,412,10,1,2,-28,0
180,15,413,34,1,2,-28,0
180,15,414,10,1,2,0,0
180,25,40,0,0,2,0,0
200,20,8,20,0,2,0,0
200,20,8,20,0,1,0,0
216,12,87,186,0,20,0,0
240,15,415,234,1,3,0,0
240,15,412,210,1,3,-28,0
240,15,413,234,1,3,-28,0
240,15,414,210,1,3,0,0
240,20,-8,20,0,2,0,0
240,25,40,0,0,3,0,0
244,12,80,114,0,21,0,0
260,20,-7,20,0,3,0,0
272,12,80,162,0,22,0,0
272,12,87,234,0,23,0,0
280,15,415,34,1,4,0,0
280,15,412,10,1,4,-28,0
280,15,413,34,1,4,-28,0
280,15,414,10,1,4,0,0
280,25,40,0,0,4,0,0
300,12,87,66,0,24,0,0
300,20,7,20,0,4,0,0
300,20,7,20,0,3,0,0
340,20,-7,20,0,4,0,0
440,12,80,18,0,25,0,0
496,12,87,210,0,26,0,0
496,12,87,258,0,27,0,0
500,15,130,90,4,31,0,0
500,45,628,0,0,31,0,0
502,15,130,110,4,0,0,0
502,15,130,70,4,0,0,0
505,15,130,130,4,0,0,0
505,15,130,50,4,0,0,0
550,15,130,190,4,32,0,0
550,45,628,0,0,32,0,0
552,15,130,210,4,0,0,0
552,15,130,170,4,0,0,0
555,15,130,230,4,0,0,0
555,15,130,150,4,0,0,0
580,10,84,90,0,0,0,0
580,10,84,114,0,0,0,0
580,12,87,258,0,28,0,0
600,15,130,140,4,33,0,0
600,45,628,0,0,33,0,0
602,15,130,160,4,0,0,0
602,15,130,120,4,0,0,0
605,15,130,180,4,0,0,0
605,15,130,100,4,0,0,0
608,12,80,90,0,29,0,0
650,15,130,40,4,34,0,0
650,45,628,0,0,34,0,0
652,15,130,60,4,0,0,0
652,15,130,20,4,0,0,0
655,15,130,80,4,0,0,0
655,15,130,0,4,0,0,0
680,15,130,100,4,35,0,0
680,45,628,0,0,35,0,0
682,15,130,120,4,0,0,0
682,15,130,80,4,0,0,0
685,15,130,140,4,0,0,0
685,15,130,60,4,0,0,0
700,18,416,122,-1,183,0,0
710,15,130,160,4,36,0,0
710,45,628,0,0,36,0,0
712,15,130,140,4,0,0,0
712,15,130,180,4,0,0,0
715,15,130,120,4,0,0,0
715,15,130,200,4,0,0,0
720,12,87,210,0,32,0,0
720,12,87,42,0,30,0,0
720,12,87,114,0,31,0,0
730,19,0,0,0,183,0,0
800,31,0,0,0,183,0,0
810,55,93,0,0,183,0,0
832,10,84,234,0,0,0,0
832,10,84,258,0,0,0,0
832,12,80,42,0,33,0,0
890,19,0,0,0,183,0,0
890,55,0,0,0,183,0,0
900,15,175,109,6,9,-28,0
900,15,176,133,6,9,-28,0
900,15,177,157,6,9,-28,0
900,15,178,85,6,9,0,0
900,15,179,109,6,9,0,0
900,15,180,133,6,9,0,0
900,15,181,157,6,9,0,0
900,15,174,85,6,9,-28,0
900,20,0,-1,0,9,0,0
900,31,0,1,0,183,0,0
906,20,0,0,0,9,0,0
946,31,0,2,2,9,0,0
950,31,0,0,0,9,0,0
960,20,-6,4,0,9,0,0
972,10,84,-6,0,0,0,0
972,10,84,66,0,0,0,0
972,12,87,162,0,34,0,0
1000,31,0,0,0,183,0,0
1010,55,93,0,0,183,0,0
1090,19,0,0,0,183,0,0
1090,55,0,0,0,183,0,0
1100,15,175,59,6,9,-28,0
1100,15,176,83,6,9,-28,0
1100,15,177,107,6,9,-28,0
1100,15,178,35,6,9,0,0
1100,15,179,59,6,9,0,0
1100,15,180,83,6,9,0,0
1100,15,181,107,6,9,0,0
1100,15,174,35,6,9,-28,0
1100,31,0,1,0,183,0,0
1105,20,0,-1,0,9,0,0
1111,20,0,0,0,9,0,0
1112,12,87,234,0,36,0,0
1112,12,87,162,0,35,0,0
1146,31,0,2,2,9,0,0
1150,31,0,0,0,9,0,0
1160,20,6,4,0,9,0,0
1196,12,80,18,0,37,0,0
1200,31,0,0,0,183,0,0
1210,55,93,0,0,183,0,0
1280,12,80,18,0,38,0,0
1290,19,0,0,0,183,0,0
1290,55,0,0,0,183,0,0
1300,31,0,1,0,183,0,0
1308,10,84,210,0,0,0,0
1392,10,84,42,0,0,0,0
1392,10,84,18,0,0,0,0
1400,15,175,159,6,9,-28,0
1400,15,176,183,6,9,-28,0
1400,15,177,207,6,9,-28,0
1400,15,178,135,6,9,0,0
1400,15,179,159,6,9,0,0
1400,15,180,183,6,9,0,0
1400,15,181,207,6,9,0,0
1400,15,174,135,6,9,-28,0
1400,31,0,0,0,183,0,0
1402,20,0,-1,0,9,0,0
1408,20,0,0,0,9,0,0
1410,55,93,0,0,183,0,0
1446,31,0,2,2,9,0,0
1450,31,0,0,0,9,0,0
1460,20,-6,4,0,9,0,0
1490,19,0,0,0,183,0,0
1490,55,0,0,0,183,0,0
1500,31,0,1,0,183,0,0
1600,15,175,109,6,9,-28,0
1600,15,176,133,6,9,-28,0
1600,15,177,157,6,9,-28,0
1600,15,178,85,6,9,0,0
1600,15,179,109,6,9,0,0
1600,15,180,133,6,9,0,0
1600,15,181,157,6,9,0,0
1600,15,174,85,6,9,-28,0
1600,31,0,0,0,183,0,0
1602,20,0,-1,0,9,0,0
1608,20,0,-4,0,9,0,0
1610,31,0,2,2,9,0,0
1610,55,93,0,0,183,0,0
1614,31,0,0,0,9,0,0
1616,12,80,210,0,39,0,0
1644,12,87,66,0,40,0,0
1690,19,0,0,0,183,0,0
1690,55,0,0,0,183,0,0
1700,12,87,234,0,22,0,0
1700,12,80,18,0,21,0,0
1700,15,175,59,6,9,-28,0
1700,15,176,83,6,9,-28,0
1700,15,177,107,6,9,-28,0
1700,15,178,35,6,9,0,0
1700,15,179,59,6,9,0,0
1700,15,180,83,6,9,0,0
1700,15,181,107,6,9,0,0
1700,15,174,35,6,9,-28,0
1700,31,0,1,0,183,0,0
1702,20,0,-1,0,9,0,0
1708,20,0,-4,0,9,0,0
1710,31,0,2,2,9,0,0
1714,31,0,0,0,9,0,0
1784,12,80,234,0,23,0,0
1800,15,175,159,6,9,-28,0
1800,15,176,183,6,9,-28,0
1800,15,177,207,6,9,-28,0
1800,15,178,135,6,9,0,0
1800,15,179,159,6,9,0,0
1800,15,180,183,6,9,0,0
1800,15,181,207,6,9,0,0
1800,15,174,135,6,9,-28,0
1800,31,0,0,0,183,0,0
1802,20,0,-1,0,9,0,0
1808,20,0,-4,0,9,0,0
1810,31,0,2,2,9,0,0
1810,55,93,0,0,183,0,0
1812,10,84,66,0,0,0,0
1814,31,0,0,0,9,0,0
1868,12,87,162,0,24,0,0
1868,12,87,234,0,25,0,0
1890,19,0,0,0,183,0,0
1890,55,0,0,0,183,0,0
1896,10,84,-6,0,0,0,0
1900,31,0,1,0,183,0,0
1980,10,84,210,0,0,0,0
1980,10,84,138,0,0,0,0
2000,31,0,0,0,183,0,0
2010,15,130,160,4,31,0,0
2010,45,628,0,0,31,0,0
2010,55,93,0,0,183,0,0
2012,15,130,180,4,0,0,0
2012,15,130,140,4,0,0,0
2015,15,130,200,4,0,0,0
2015,15,130,120,4,0,0,0
2040,15,130,110,4,32,0,0
2040,45,628,0,0,32,0,0
2042,15,130,130,4,0,0,0
2042,15,130,90,4,0,0,0
2045,15,130,150,4,0,0,0
2045,15,130,70,4,0,0,0
2064,10,84,138,0,0,0,0
2070,15,130,60,4,33,0,0
2070,45,628,0,0,33,0,0
2072,15,130,80,4,0,0,0
2072,15,130,40,4,0,0,0
2075,15,130,100,4,0,0,0
2075,15,130,20,4,0,0,0
2090,19,0,0,0,183,0,0
2090,55,0,0,0,183,0,0
2100,31,0,1,0,183,0,0
2148,12,80,90,0,26,0,0
2200,15,175,59,1,9,-28,0
2200,15,176,83,1,9,-28,0
2200,15,177,107,1,9,-28,0
2200,15,178,35,1,9,0,0
2200,15,179,59,1,9,0,0
2200,15,180,83,1,9,0,0
2200,15,181,107,1,9,0,0
2200,15,174,35,1,9,-28,0
2200,31,0,0,0,183,0,0
2210,55,93,0,0,183,0,0
2232,10,84,138,0,0,0,0
2280,15,175,109,1,8,-28,0
2280,15,176,133,1,8,-28,0
2280,15,177,157,1,8,-28,0
2280,15,178,85,1,8,0,0
2280,15,179,109,1,8,0,0
2280,15,180,133,1,8,0,0
2280,15,181,157,1,8,0,0
2280,15,174,85,1,8,-28,0
2290,19,0,0,0,183,0,0
2290,55,0,0,0,183,0,0
2300,31,0,1,0,183,0,0
2360,15,175,29,1,7,-28,0
2360,15,176,53,1,7,-28,0
2360,15,177,77,1,7,-28,0
2360,15,178,5,1,7,0,0
2360,15,179,29,1,7,0,0
2360,15,180,53,1,7,0,0
2360,15,181,77,1,7,0,0
2360,15,174,5,1,7,-28,0
2372,12,80,162,0,27,0,0
2400,19,0,1,0,183,0,0
2400,31,0,0,0,183,0,0
2440,15,175,229,1,6,-28,0
2440,15,176,253,1,6,-28,0
2440,15,177,277,1,6,-28,0
2440,15,178,205,1,6,0,0
2440,15,179,229,1,6,0,0
2440,15,180,253,1,6,0,0
2440,15,181,277,1,6,0,0
2440,15,174,205,1,6,-28,0
2456,12,80,90,0,28,0,0
2484,10,84,162,0,0,0,0
2484,10,84,138,0,0,0,0
2484,12,80,186,0,29,0,0
2512,10,84,162,0,0,0,0
2512,10,84,138,0,0,0,0
2540,12,80,186,0,31,0,0
2540,12,80,138,0,30,0,0
2540,15,415,234,1,1,0,0
2540,15,412,210,1,1,-28,0
2540,15,413,234,1,1,-28,0
2540,15,414,210,1,1,0,0
2540,25,40,0,0,1,0,0
2560,20,-8,20,0,1,0,0
2580,15,415,34,1,2,0,0
2580,15,412,10,1,2,-28,0
2580,15,413,34,1,2,-28,0
2580,15,414,10,1,2,0,0
2580,25,40,0,0,2,0,0
2600,20,8,20,0,2,0,0
2600,20,8,20,0,1,0,0
2640,15,415,234,1,3,0,0
2640,15,412,210,1,3,-28,0
2640,15,413,234,1,3,-28,0
2640,15,414,210,1,3,0,0
2640,20,-8,20,0,2,0,0
2640,25,40,0,0,3,0,0
2652,10,84,66,0,0,0,0
2652,10,84,138,0,0,0,0
2660,20,-7,20,0,3,0,0
2680,15,415,34,1,4,0,0
2680,15,412,10,1,4,-28,0
2680,15,413,34,1,4,-28,0
2680,15,414,10,1,4,0,0
2680,25,40,0,0,4,0,0
2700,20,7,20,0,4,0,0
2700,20,7,20,0,3,0,0
2736,10,84,66,0,0,0,0
2736,10,84,138,0,0,0,0
2740,20,-7,20,0,4,0,0
2750,64,6,0,1,0,0,0
2800,2,2,2,0,0,0,0
2802,2,3,3,0,0,0,0
2805,2,4,4,0,0,0,0
2809,2,5,5,0,0,0,0
2814,2,6,6,0,0,0,0
2820,2,7,7,0,0,0,0
2820,12,87,210,0,33,0,0
2820,12,87,258,0,34,0,0
2820,12,87,18,0,32,0,0
2827,2,8,8,0,0,0,0
2835,2,9,9,0,0,0,0
2844,2,10,10,0,0,0,0
2854,2,11,11,0,0,0,0
2865,2,12,12,0,0,0,0
2876,12,87,18,0,35,0,0
2877,2,13,13,0,0,0,0
2890,2,14,14,0,0,0,0
2904,2,15,15,0,0,0,0
2904,19,0,16,99,0,0,0
2919,2,0,16,0,0,0,0
2919,43,3,0,0,0,0,0
2920,2,0,17,0,0,0,0
2921,2,0,18,0,0,0,0
2922,2,0,19,0,0,0,0
2922,64,4,1,3,0,0,0
2923,2,0,20,0,0,0,0
3000,15,175,109,1,9,-28,0
3000,15,176,133,1,9,-28,0
3000,15,177,157,1,9,-28,0
3000,15,178,85,1,9,0,0
3000,15,179,109,1,9,0,0
3000,15,180,133,1,9,0,0
3000,15,181,157,1,9,0,0
3000,15,174,85,1,9,-28,0
3000,25,254,0,0,9,0,0
3000,79,9,0,0,0,0,0
3030,15,290,65,6,1,0,0
3030,15,289,177,6,2,-28,0
3030,15,290,177,6,2,0,0
3030,15,289,65,6,1,-28,0
3030,19,0,0,0,9,0,0
3030,62,14,0,0,0,0,0
3035,15,290,35,6,3,0,0
3035,15,289,207,6,4,-28,0
3035,15,290,207,6,4,0,0
3035,15,289,35,6,3,-28,0
3035,62,14,0,0,0,0,0
3040,15,290,5,6,5,0,0
3040,15,289,237,6,6,-28,0
3040,15,290,237,6,6,0,0
3040,15,289,5,6,5,-28,0
3040,62,14,0,0,0,0,0
3080,15,290,105,6,11,0,0
3080,15,289,137,6,12,-28,0
3080,15,290,137,6,12,0,0
3080,15,289,105,6,11,-28,0
3080,62,14,0,0,0,0,0
3090,15,290,85,6,13,0,0
3090,15,289,157,6,14,-28,0
3090,15,290,157,6,14,0,0
3090,15,289,85,6,13,-28,0
3090,62,14,0,0,0,0,0
3100,15,290,65,6,15,0,0
3100,15,289,177,6,16,-28,0
3100,15,290,177,6,16,0,0
3100,15,289,65,6,15,-28,0
3100,62,14,0,0,0,0,0
3100,70,4000,9,0,0,0,0
3140,15,289,177,6,2,-28,0
3140,15,290,177,6,2,0,0
3140,15,289,65,6,1,-28,0
